gene,tb_mean,healthy_mean,log2_fold_change,p_value,adjusted_p_value,significant
ENSG00000168894,2.7653248991003534,2.6038361264765557,0.16148877262379768,7.267127552672382e-24,1.0866360416087328e-20,True
ENSG00000259623,1.7836722633159103,1.8508384503294473,-0.06716618701353694,7.781895145940429e-24,1.124821064044716e-20,True
ENSG00000149357,4.044128029977618,3.846383192458486,0.1977448375191324,9.845680788398428e-24,1.3772201807332937e-20,True
ENSG00000167005,2.7243370354713234,2.6041864635137824,0.12015057195754109,2.2904176837658383e-23,3.103730688160564e-20,True
ENSG00000084093,2.421097357631854,2.5480469546141182,-0.12694959698226427,2.4314781318267793e-23,3.195035946375898e-20,True
ENSG00000138413,2.694395305555267,2.5566624540241643,0.1377328515311027,3.4057339922194745e-23,4.317235839804677e-20,True
ENSG00000001036,2.4295656502172194,2.2684408000585763,0.16112485015864308,3.551686785269791e-23,4.317235839804677e-20,True
ENSG00000273156,1.400420780836598,1.4730186388491875,-0.07259785801258944,3.5841729177632634e-23,4.317235839804677e-20,True
ENSG00000234414,0.24890212280783805,0.10721056178966919,0.14169156101816888,3.9163055751968386e-23,4.589804288034068e-20,True
ENSG00000197385,1.2283122355890301,1.4115904848110592,-0.18327824922202907,4.3213557960928073e-23,4.931235562788748e-20,True
ENSG00000173465,2.26786060228773,2.1191976530848993,0.14866294920283085,5.695189400578775e-23,6.332320460956344e-20,True
ENSG00000268205,2.169851254019291,2.2819838645905826,-0.11213261057129165,5.882455502261868e-23,6.377022948614534e-20,True
ENSG00000110079,1.812958683143454,1.6578881361418145,0.15507054700163958,8.303371626101939e-23,8.781929361528254e-20,True
ENSG00000127528,5.414002480065354,5.734963060973628,-0.32096058090827473,1.0959001769187196e-22,1.1314647469458677e-19,True
ENSG00000183087,2.102065168075365,1.913754656261567,0.18831051181379777,1.3543663889470325e-22,1.3657997610211668e-19,True
ENSG00000004961,2.1809396967626524,2.107605562086929,0.07333413467572347,1.6974913809171582e-22,1.6729163352434258e-19,True
ENSG00000263244,2.653848170590102,2.9172190269243403,-0.2633708563342383,2.0777230836417678e-22,2.0021401350212884e-19,True
ENSG00000145545,2.1234547801213024,2.018525041771323,0.1049297383499792,2.729241775485008e-22,2.572785024138183e-19,True
ENSG00000103591,2.4648307869631507,2.406474671394411,0.058356115568739764,2.9541292079426634e-22,2.725529890298249e-19,True
ENSG00000124171,1.4249165120843044,1.512483165697724,-0.08756665361341964,3.1205457779952756e-22,2.819088053566857e-19,True
ENSG00000101425,2.215464487045939,1.866509110033817,0.3489553770121221,3.3744533803264196e-22,2.9862535087978475e-19,True
ENSG00000176153,1.826590227742073,1.6708705378455768,0.1557196898964961,3.595233914251942e-22,3.1180025644741393e-19,True
