go_term,number_of_genes,statistic,p_value
GO:0048490,17,1.1362374434667948,0.25585720373493637
GO:0050918,47,1.1352846982828961,0.256256051394372
GO:0052642,5,-1.1348222625863382,0.25644979641366306
GO:0008209,14,1.1344987906485948,0.2565853807367928
GO:0004527,54,-1.134464716368682,0.2565996659800984
GO:0031849,6,1.1343257952746395,0.2566579127391653
GO:0051289,67,1.1339968510760983,0.25679586888105266
GO:0051147,9,-1.1337151905298268,0.2569140356023454
GO:0043535,6,1.1330211852567844,0.2572053568164453
GO:0035372,9,-1.1322504766288346,0.2575291442008014
GO:2000535,5,1.1322141328388708,0.25754441980411
GO:0002949,5,-1.1321426772293512,0.25757445503597265
GO:0004980,5,-1.1320354938150718,0.25761951243981773
GO:0030953,14,-1.1318295827050786,0.25770608800192973
GO:0071391,19,-1.1317703708953757,0.2577309874108208
GO:0007197,8,1.1317157319951927,0.25775396532649986
GO:0036128,15,1.1309276558106227,0.25808554198596423
GO:0050868,29,-1.1301588808266372,0.2584092827004638
GO:0007204,133,1.1299085116687984,0.2585147770118361
GO:0034704,27,-1.1298270485389854,0.2585491083494502
GO:0051481,13,-1.1297793528150604,0.2585692104187489
GO:1904768,5,1.129695322603303,0.2586046288315056
GO:0043139,9,-1.1296672539307209,0.25861646041875486
GO:0010716,15,1.1295041970683581,0.2586852000344607
GO:0043086,10,-1.1290347150715438,0.2588831895049921
GO:0043200,18,1.1290024843687214,0.25889678565479834
GO:0002218,36,-1.128993566205711,0.2589005477662709
GO:0097386,14,-1.1286692404999554,0.25903738973614887
GO:0090051,53,1.1285354817555016,0.2590938408355191
GO:0046486,17,-1.1283308912362342,0.25918020202976055
GO:0140939,7,-1.127918757657132,0.25935423127434953
GO:0042997,6,1.1278679756862564,0.2593756802805143
GO:0005506,140,1.1264291400427449,0.2599839182603182
GO:0044528,7,-1.1264089475245358,0.2599924612486332
GO:1902817,5,-1.1263905006630193,0.26000026585974056
GO:1904380,14,-1.1260427398835353,0.26014742896612997
GO:0008597,5,-1.125425849934504,0.26040862218708627
GO:1903588,29,1.125247082119263,0.2604843469638647
GO:1900244,6,1.1251609098992068,0.26052085434575534
GO:0071372,10,-1.1238806897879197,0.2610636443186455
GO:0017101,12,-1.1238655491571026,0.26107006834555635
GO:0005253,9,-1.123701873679407,0.26113952128587514
GO:0001819,76,1.123683123755685,0.26114747831667984
GO:0046653,11,1.1236476322432207,0.26116254054672683
GO:0097190,55,-1.1233410129591963,0.26129269160502033
GO:0045830,11,-1.1233344707206745,0.2612954690854452
GO:0032052,9,-1.1231159881190103,0.26138823669788447
GO:0009617,52,-1.1230495715570636,0.26141644165183464
GO:0008160,5,1.122960631406076,0.2614542149366248
GO:0042633,16,1.122454278006686,0.26166933740342535
GO:0006520,37,1.122198507626207,0.2617780470432224
GO:0010968,10,-1.1221879461898667,0.26178253662303397
GO:0043029,16,1.121655278645195,0.2620090382400827
GO:0098609,210,-1.1212970587088047,0.26216143713552986
GO:0008250,13,-1.1210706739029248,0.26225778047356707
GO:0072562,138,-1.1204778959620343,0.26251016681483663
GO:0030174,19,-1.120295204439042,0.262587984965312
GO:1990715,5,-1.12010240702529,0.26267012503307563
GO:0048557,9,-1.1200267733460085,0.2627023531085385
GO:0030200,12,1.1186991995632103,0.26326848679758663
GO:0031466,19,-1.117875520777323,0.2636201612777386
GO:0030851,8,1.1177338199665994,0.26368069392690385
GO:0098911,11,-1.1177216526627334,0.2636858920797689
GO:1904046,31,1.1175195780864327,0.2637722333365923
GO:0035912,7,-1.1175010677422197,0.26378014330437605
GO:0045725,16,-1.1174006070452551,0.26382307571514596
GO:1900748,14,-1.1168606645578394,0.26405390556323427
GO:0098708,12,1.1168540747082487,0.26405672363809884
GO:0048675,20,-1.1164905413374975,0.2642122167172737
GO:0015643,11,1.1163485598331082,0.2642729631973515
GO:0015093,6,1.1159634092733277,0.2644377975226153
GO:0044351,7,1.115900669001668,0.26446465542307795
GO:0004340,5,1.1157793426493512,0.26451659822913065
GO:0004396,5,1.1157793426493512,0.26451659822913065
GO:0008865,5,1.1157793426493512,0.26451659822913065
GO:0016783,6,1.1154415652661858,0.2646612461061775
GO:0016810,13,1.1153313664264792,0.2647084488267919
GO:0042138,11,-1.1151922711344764,0.26476803737655596
GO:0000145,17,1.1147269704865934,0.26496743978238135
GO:1905278,5,1.1146717807017965,0.26499109796815445
GO:0045577,8,-1.114513743256984,0.2650588518755962
GO:0042771,23,-1.1141801102751165,0.2652019263999714
GO:0050731,16,-1.1141646596312162,0.2652085535130384
GO:0060411,9,-1.113981499609186,0.2652871234733769
GO:0006368,49,1.1137269016969877,0.26539636470200734
GO:0106072,10,1.1130926074540595,0.26566865832025255
GO:0042383,116,-1.113083843680109,0.2656724218323008
GO:0010754,5,1.1125638402209668,0.2658957976562667
GO:0160020,10,1.1122841328997655,0.2660160038873737
GO:0099504,5,1.1122780177828882,0.2660186323205921
GO:0030238,5,-1.111277639249613,0.2664488612357385
GO:0006225,5,-1.1109560890067747,0.2665872507274393
GO:0031167,16,-1.110828837296991,0.26664203125021213
GO:0097066,7,-1.1108277069561456,0.2666425178847578
GO:2001137,6,1.1105166624487823,0.26677645204125877
GO:0005851,5,1.1103129885210978,0.2668641780505675
GO:0051754,6,-1.1097665116885156,0.2670996534486384
GO:0050709,23,1.109714792431003,0.26712194653691934
GO:0008134,26,-1.1096187488965779,0.26716334857252155
GO:0008076,85,-1.1092679554384641,0.26731460460564727
GO:0034362,15,1.1088949900607914,0.2674754853522461
GO:0004952,5,-1.108848148525945,0.2674956954198169
GO:0099566,10,-1.1087975863843726,0.267517511944108
GO:0010855,5,1.1087409651116655,0.26754194431066325
GO:0004713,139,-1.1080986609776686,0.26781920920065305
GO:0033588,6,-1.1078748271626255,0.26791587843679077
GO:0004550,17,1.1077312220669062,0.26797791115868896
GO:0019843,54,-1.107368183475705,0.2681347760103222
GO:0004653,21,-1.1071369910380862,0.2682347045101837
GO:0070652,9,-1.1068976105607509,0.268338199089466
GO:0010389,8,1.1068307532129893,0.26836710932492347
GO:0035338,19,1.10610705933169,0.2686801835862598
GO:0009266,9,-1.1053263720124136,0.2690181946525949
GO:0006821,86,1.1050372882720108,0.26914343211252156
GO:0034706,9,1.1047937487756891,0.26924896985402225
GO:0090279,8,-1.1046275428327261,0.26932101143614673
GO:0072488,11,1.1042316178453637,0.26949267749430583
GO:0016558,13,-1.1040743463568485,0.2695608884560833
GO:0060373,8,-1.1038931393726383,0.2696394952814565
GO:1903979,8,1.103751907938006,0.26970077178647545
GO:0006754,24,1.1032604998880036,0.26991405491399423
GO:2000321,5,1.1019884100120585,0.2704667103445887
GO:0019211,9,-1.1017311651645236,0.27057856379071243
GO:0008603,7,1.1016782575526143,0.2706015726478056
GO:0032229,9,-1.1016246405171788,0.2706248913925514
GO:1902476,111,1.1015591671982077,0.2706533684568485
GO:0032868,58,1.1015512021782468,0.2706568329147977
GO:0016241,57,1.1010263609379174,0.2708851843847965
GO:0019585,5,1.1004878422121458,0.27111962394637357
GO:1990845,13,-1.1004623497597033,0.2711307253144919
GO:0007095,32,-1.0998194202104736,0.2714108091077583
GO:0016032,7,1.099473934759024,0.27156139712936234
GO:0044300,8,-1.0990347780212888,0.2717528965842213
GO:1990757,12,1.0984028261586327,0.2720286288579813
GO:0009982,13,-1.0979804870671863,0.2722130099406266
GO:0140078,10,-1.0975800019435435,0.272387929207875
GO:2000058,6,-1.0974053317693377,0.2724642437145862
GO:0001522,16,-1.0971659482154938,0.272568855671229
GO:0000795,29,-1.096191789463557,0.2729948519729051
GO:0070016,8,-1.0961819030417173,0.27299917760435977
GO:0061202,8,-1.0959276864593792,0.27311042173722955
GO:0051539,46,-1.0958811127448285,0.2731308055631103
GO:0035524,6,1.0949918032363057,0.2735202275152784
GO:0044613,6,-1.0948939574849665,0.27356309660146927
GO:0006612,54,-1.093945011420332,0.2739790959165841
GO:0016853,185,-1.091735982215301,0.27494916465698593
GO:0050974,6,1.0911758189340792,0.2751955259115595
GO:0033280,20,1.0908335390273205,0.27534613563630783
GO:0043295,10,1.0906574385724015,0.27542364512671513
GO:0071806,9,1.0905727083551464,0.27546094389567966
GO:0007616,28,-1.0901355844327347,0.27565342332681764
GO:0062072,25,-1.0900122127846816,0.2757077643494995
GO:0072584,12,1.089338650308634,0.2760045746252918
GO:0070778,7,-1.0888448714255485,0.27622230032871153
GO:0046847,19,-1.0883627124790842,0.276435015355041
GO:0047045,11,-1.0882844695434017,0.2764695444767179
GO:0015220,17,-1.0880035990994785,0.2765935186715316
GO:0017020,6,-1.0876859871363167,0.2767337559588404
GO:0061061,14,-1.0870723039081982,0.27700485679126907
GO:0005587,6,-1.087033682127389,0.2770219244083396
GO:0008066,13,-1.087011540345794,0.277031709558652
GO:0046888,8,-1.086973613503694,0.27704847117133313
GO:0042813,15,-1.086697285616205,0.27717061400888376
GO:0006183,11,1.0866945725827832,0.27717181340954
GO:1905719,9,-1.0866046652415493,0.27721156240416867
GO:0034432,6,-1.0860226093635512,0.2774689894709106
GO:0003945,5,1.0853749807987396,0.2777556088250379
GO:0071799,6,-1.0844896925925713,0.2781477346672071
GO:2000352,34,1.084425968799977,0.27817597474753397
GO:0051046,7,1.084164460014501,0.278291886421677
GO:0032590,31,1.0840054730924458,0.2783623721664661
GO:0010828,9,-1.083941549057927,0.27839071586633846
GO:0010447,9,1.083222507688349,0.2787096716674662
GO:0003279,5,-1.083016945684591,0.27880090152113424
GO:0042361,5,1.0829812178798313,0.27881675984253795
GO:0032456,75,1.0828236634945594,0.2788867000362617
GO:0009235,9,-1.0826898844516246,0.2789460954514099
GO:0048935,6,-1.082565392816235,0.2790013751580984
GO:1990261,5,-1.0825524842227134,0.27900710756201086
GO:0140936,5,-1.0823381173941544,0.27910231455860646
GO:0048039,6,-1.0823370860631103,0.2791027726582982
GO:0043647,17,-1.082015548513098,0.2792456190959106
GO:0032059,8,1.0820022670046388,0.2792515206146753
GO:0071547,6,1.0817173963046292,0.27937812076453084
GO:1902523,9,1.0815980068163393,0.2794311905691411
GO:0006929,5,1.081409194470399,0.2795151335082514
GO:0003163,8,-1.0811548783968452,0.2796282254468856
GO:0141111,7,1.0806013081015746,0.27987450041511763
GO:0034498,12,1.0801591541552,0.280071313809505
GO:0090557,8,-1.08008151949364,0.28010588057457864
GO:0015111,5,-1.0799086266704863,0.2801828713682345
GO:0101005,28,-1.0797757776707468,0.2802420400394643
GO:0003924,344,-1.0796152828698002,0.28031353299906137
GO:0008320,27,1.0792311212560795,0.28048470942528025
GO:0006753,6,-1.0790755610184724,0.28055404483353896
GO:0090734,51,-1.0786116010895268,0.2807609074948413
GO:0032232,5,-1.0784437866753334,0.2808357552669508
GO:0043010,32,-1.0783745520005432,0.2808666389286677
GO:0045739,43,-1.0780903548360692,0.2809934355345928
GO:0001561,7,-1.0777024726469904,0.2811665546638803
GO:0004972,7,1.0772797258098636,0.281355316976832
GO:0070100,11,-1.077155190819072,0.2814109399692327
GO:0001514,9,-1.076990815818673,0.28148436874694127
GO:0002725,9,1.076857660009492,0.2815438609748434
GO:0050667,10,-1.0760543669354665,0.2819029425165581
GO:0005092,15,-1.0753508753517789,0.2822176666533861
GO:0044790,17,1.0750973153113577,0.28233116132174574
GO:0001939,9,-1.0747537982244302,0.2824849705452205
GO:2000627,7,-1.0747130485844505,0.2825032198992995
GO:0019905,49,1.0745039285657425,0.2825968849646966
GO:0050684,18,-1.074179533945065,0.282742223291089
GO:0010669,14,-1.0741746911251278,0.2827443934005204
GO:0032497,5,1.0739778110803553,0.2828326266071455
GO:0043539,63,-1.07396750580308,0.2828372455050724
GO:0005688,116,1.0739170592454927,0.2828598567454528
GO:0098992,26,-1.0736213720698644,0.28299241477919546
GO:0016836,9,1.0734755024562916,0.28305782435644655
GO:1905477,9,-1.0724901494683514,0.2834999360371502
GO:0010977,68,-1.072463091304321,0.28351208318465637
GO:0036148,9,-1.0720640508789718,0.2836912642430143
GO:0038066,16,1.0719575183604506,0.2837391134891495
GO:0016594,10,1.071077195460594,0.28413472104563064
GO:0007600,13,-1.0707907948911295,0.2842635068071415
GO:0040037,20,1.0707510386118337,0.28428138713788653
GO:0140046,5,-1.0706551252376915,0.28432452717641243
GO:1990763,11,-1.0705787988456044,0.284358860522982
GO:0085020,16,1.0704593945576548,0.28441257691421373
GO:0000132,32,1.0696864136941484,0.28476048382040364
GO:0032717,39,1.0693887361872565,0.28489454068125486
GO:1902966,10,-1.0692075980537892,0.2849761357861367
GO:0002842,6,-1.0687691418774163,0.28517370726712166
GO:1904115,59,-1.0671384901755219,0.2859093032394432
GO:0055091,17,1.066803186991064,0.2860607191482665
GO:0034614,38,1.0664302550089595,0.286229191067219
GO:0050145,6,1.066062076090367,0.28639558153091027
GO:0060047,13,-1.0659157074593997,0.2864617477996877
GO:1903999,6,1.0655076168327784,0.2866462806039747
GO:0042379,11,-1.0653514103538735,0.28671693620172223
GO:0033204,10,1.064483074877134,0.2871099176552392
GO:0030681,10,1.064483074877134,0.2871099176552392
GO:1903690,5,-1.0636524755047656,0.28748616099400026
GO:0097646,5,1.0636524755047656,0.28748616099400026
GO:0005905,76,1.0633254760648274,0.2876343758136203
GO:0032091,19,-1.0626810699785671,0.28792660832769534
GO:0006596,11,1.0620752590410838,0.28820152084279693
GO:0000963,6,-1.0620177850350159,0.2882276113102802
GO:0044322,25,-1.0613251574514388,0.28854215656210813
GO:0000228,35,-1.0611614013804087,0.2886165574553171
GO:0045778,17,-1.0611058184719835,0.2886418139194922
GO:0050427,14,1.0598677365478808,0.2892047753835467
GO:0006282,64,-1.0591808547655805,0.2895174224535477
GO:0043410,182,-1.058159840747039,0.28998257655342385
GO:0043196,9,1.0577897481347565,0.2901513076988974
GO:1905232,8,-1.0575127362394054,0.2902776450882327
GO:2000675,5,-1.0573286540622766,0.29036162029997536
GO:0051059,32,-1.0569296837906128,0.2905436799744826
GO:0008385,8,1.056608855057759,0.29069013749758044
GO:0008081,60,-1.055929421143282,0.2910004613310351
GO:0005740,18,1.055911494813857,0.2910086519968469
GO:0140375,11,1.0555229564155042,0.29118621601689754
GO:1905337,6,1.0546793536845804,0.2915719975037151
GO:0010560,8,1.0545751223990545,0.29161968654700177
GO:0061436,28,1.054208499466599,0.2917874695491103
GO:0140546,9,1.0537950738593231,0.2919767493509714
GO:0032570,26,-1.0537499424589492,0.29199741697958315
GO:0000800,15,-1.0534419886230142,0.29213846865377935
GO:1903845,16,1.0531610583813733,0.29226718266630836
GO:0045444,64,-1.0529052341829632,0.2923844269587591
GO:0097067,10,1.0524317510521892,0.29260150772002125
GO:0032526,39,1.0516320315869343,0.29296840579981875
GO:0043190,6,-1.0515156743912815,0.29302181428308394
GO:0043161,336,1.0512568260364352,0.29314065029739833
GO:0071482,14,-1.049553917054134,0.29392325378898265
GO:1990635,8,-1.0494907907522935,0.2939522915640911
GO:0046813,6,1.0494282983627132,0.2939810396377591
GO:2000342,6,1.0492978373609276,0.2940410610619625
GO:0004064,6,1.0492652221104812,0.29405606770192205
GO:0003756,18,-1.0488867746118564,0.294230233163677
GO:0045737,16,-1.0472684380903767,0.2949757885202269
GO:0015143,10,1.0470756071299916,0.29506470859919987
GO:0033690,9,1.0464448731925258,0.29535568415710134
GO:0070061,7,1.0463286180916467,0.2954093369195917
GO:0000338,11,1.0461040213912338,0.29551300877816455
GO:0008645,15,1.0454582417642269,0.2958112306877201
GO:0032690,8,-1.0452538477133257,0.2959056620995377
GO:0042711,8,1.0452256014263992,0.2959187136589154
GO:0010458,11,1.045092268779931,0.29598032692183796
GO:0031996,10,-1.044296475849606,0.2963482428655356
GO:0030660,19,-1.0440385072212326,0.29646757417699277
GO:0031994,13,-1.0424266498337922,0.2972139162218481
GO:0097431,39,-1.0417138722606283,0.29754435547758173
GO:1903432,10,1.0412141666113601,0.2977761622668822
GO:0060236,19,-1.040482305475979,0.29811588062443084
GO:0035723,10,1.040178308588671,0.298257067240856
GO:0016705,78,1.039996042481218,0.2983417393052652
GO:0031624,31,-1.0393247840790492,0.29865371208025226
GO:0008045,14,-1.038684902308136,0.2989513050093614
GO:0042613,17,1.038141935155282,0.2992039805607942
GO:1901379,26,1.03731056575402,0.299591143248514
GO:0032695,14,1.0372969141775075,0.2995975034759255
GO:2000048,11,-1.0361310313655356,0.3001410169939748
GO:0015085,10,-1.0354032557523722,0.3004806258860745
GO:0005159,17,1.0350994628508754,0.3006224634069563
GO:0016004,11,1.0345652237528051,0.3008720018907032
GO:0097060,73,-1.0343946450109358,0.3009517068094276
GO:1904153,9,-1.0338749648058287,0.301194620180707
GO:0060976,5,-1.0337840307255515,0.3012371387873555
GO:0043162,31,1.0334974921614652,0.3013711435266194
GO:0033152,6,-1.0334142103935409,0.30141009913697436
GO:0003014,5,-1.0332123858493945,0.30150451784087384
GO:0036057,8,-1.0330796980480252,0.3015666033296256
GO:2000785,13,-1.032853750876941,0.3016723450728115
GO:0030101,27,-1.0326490350129418,0.30176817201854156
GO:0099550,11,1.0326139865738642,0.3017845801298926
GO:0070374,190,1.031661803740718,0.30223057676192244
GO:0030316,32,1.0316422568500494,0.3022397369977181
GO:0006334,107,1.0311770013976693,0.30245782362377815
GO:0061044,7,1.0311399281577314,0.30247520605804656
GO:0010485,12,-1.0308712564670386,0.3026011973175301
GO:0098804,9,1.0304661760907923,0.30279122222465615
GO:0007091,6,-1.0303809921020275,0.3028311924878275
GO:0000729,11,-1.030325498524489,0.30285723322266034
GO:0090069,6,-1.0302179158497955,0.30290772135830635
GO:0140416,45,-1.0289591499187252,0.3034988711725094
GO:0007267,225,-1.028904671122209,0.3035244731547647
GO:0034243,23,-1.0286226209858473,0.30365704386582826
GO:0033017,42,-1.0284957505455705,0.3037166887307797
GO:0072015,7,-1.0283920737164067,0.3037654354967616
GO:0018149,20,1.026583831292365,0.30461647072562414
GO:0050795,12,1.026558277118566,0.3046285089294406
GO:0016538,33,-1.026503370690541,0.3046543756263803
GO:0016322,11,1.025820790469403,0.3049760643563363
GO:0006351,104,-1.025767436146568,0.30500121885787645
GO:0051561,9,1.0247937386196768,0.30546052144130253
GO:0015276,35,-1.0244722744483332,0.30561225989567486
GO:0003272,12,-1.0244133194746732,0.3056400934176158
GO:1901289,6,-1.0242493250181082,0.305717526487154
GO:0033147,12,-1.024228806989177,0.30572721537624936
GO:0008038,5,-1.0241375234403987,0.3057703231631853
GO:1990381,19,1.0237644910859207,0.305946526027975
GO:0043085,12,1.022983347712078,0.3063157192963133
GO:0048806,9,-1.0228762949674688,0.30636633883242603
GO:0046339,13,-1.0226825457352866,0.30645796661064506
GO:0010954,13,1.022505269828678,0.306541819740182
GO:0001678,28,-1.0206523906836003,0.3074191583371295
GO:0016081,12,-1.0201003401262003,0.30768087548071044
GO:0090554,8,-1.0200864060618577,0.3076874832750759
GO:2000738,10,1.0193600888156011,0.3080320465671881
GO:0039536,8,1.018787076863241,0.30830406225489493
GO:1904707,53,-1.0175517913632712,0.3088910075067769
GO:0034450,16,-1.0170662622260145,0.3091219085237127
GO:0007605,121,-1.0166803941566642,0.309305495490114
GO:0015386,14,1.0161567872648587,0.30955473055037164
GO:0070886,20,-1.0156670984152631,0.30978794077501126
GO:0046037,12,1.0154875279887965,0.3098734887634548
GO:0061303,9,-1.0152864138441455,0.30996931877681433
GO:0005347,12,-1.0151876951998653,0.31001636494098317
GO:0006622,23,-1.0149934045810525,0.3101089714386531
GO:0046322,7,-1.0149245673336509,0.3101417863412891
GO:0035655,6,1.0148561328895507,0.31017441149909475
GO:0045723,15,1.0147816743765874,0.31020991112082974
GO:0006893,32,-1.0145626483745513,0.31031435180591405
GO:2000737,11,-1.0139688313084283,0.3105976251905269
GO:0120283,25,1.0132843282972726,0.31092437091585545
GO:0030324,36,-1.0132717589689486,0.3109303729716132
GO:0034472,13,-1.0131096467784353,0.31100779099213405
GO:0042355,10,-1.012664908912854,0.3112202445410742
GO:0042577,5,-1.0124902590886955,0.31130370182489975
GO:0042026,25,-1.012389356097461,0.31135192554594293
GO:0046329,32,-1.0123870820344136,0.31135301242660396
GO:0071723,9,1.012356986042161,0.31136739693892956
GO:1903691,6,-1.0122469128538403,0.3114200106378643
GO:0060021,24,-1.0119351470756774,0.3115690628580894
GO:0005381,9,1.0118509939672728,0.3116093037106752
GO:0010288,16,1.0117928664401734,0.311637101491139
GO:0008631,12,1.0116819579754381,0.31169014473860945
GO:0021702,6,-1.0116598383458055,0.3117007244175197
GO:0019372,9,1.0109721656266775,0.31202975202010375
GO:0043122,39,1.0103468935396267,0.31232912170069305
GO:0051402,28,-1.0101113628120733,0.31244193887529403
GO:0032010,5,1.0090246620269925,0.3129628067681186
GO:0070934,11,-1.0084764599899279,0.3132257830118773
GO:0005798,17,1.007814106133647,0.3135437126615964
GO:0008283,87,-1.0075220405946361,0.31368397147738825
GO:0030432,5,-1.006666626912844,0.31409500482112873
GO:0016874,145,-1.0060005176858446,0.3144153210361512
GO:0070852,7,1.005835510335423,0.31449470236144905
GO:0036499,7,1.0046880546346502,0.3150470818881914
GO:0160232,17,-1.0039964816497735,0.3153803094558738
GO:0050660,62,1.0037863575318682,0.31548160151818694
GO:0004679,6,-1.0035060257342105,0.3156167710391655
GO:0004239,5,-1.0034868522892195,0.3156260174212048
GO:0004865,15,-1.0031464463963395,0.31579020757099896
GO:0033268,20,-1.00312446915221,0.31580080992269166
GO:0060045,30,-1.002575252783235,0.316065841029739
GO:0019911,11,-1.00216505084323,0.31626388424421403
GO:1903826,14,-1.002063369323093,0.31631298811072184
GO:0003674,93,-1.0019375386348413,0.316373760979474
GO:0071569,7,-1.0016684343694584,0.31650375688365273
GO:0003215,11,-1.0016350851896905,0.3165198692762238
GO:0045019,16,1.0014657996929015,0.31660166652608
GO:0007405,7,1.0010041179111162,0.3168248175536177
GO:0035050,15,-1.000815274832921,0.3169161234103083
GO:0009116,8,1.0005399755087534,0.31704926188502247
GO:0051793,5,1.0003785332751147,0.31712735459261077
GO:0030540,5,-0.9997354327894379,0.31743855983909786
GO:0030514,63,0.9993749582275608,0.3176130860164209
GO:1902936,14,-0.999266039398288,0.3176658321692172
GO:0004888,272,-0.9989599819451667,0.31781407743197165
GO:0071257,10,-0.9982134262548491,0.31817587728277297
GO:0051246,20,0.9976393022237808,0.3184542958414225
GO:0001763,8,-0.9975741153814761,0.31848591795643744
GO:0002089,7,-0.99728998498493,0.3186237735309362
GO:0051180,9,0.9972304861191866,0.3186526463867305
GO:2000279,7,0.9960519406762014,0.31922490904256107
GO:0003333,29,-0.9942608368322786,0.3200958967890053
GO:0120317,7,0.9938778140852632,0.3202823566725812
GO:1903311,5,-0.9938760728088265,0.32028320450811054
GO:0044355,7,-0.9930927128163133,0.3206647749119632
GO:0045055,23,0.9928500933316972,0.32078301377633944
GO:1990592,5,-0.9927685108612718,0.32082277880733434
GO:0000018,5,-0.9924112328136736,0.3209969616633217
GO:0140410,7,-0.9923982001553192,0.3210033166097517
GO:0090235,5,-0.991696676718477,0.32134551268614786
GO:0046425,11,0.9913007549456699,0.3215387444744212
GO:0048247,9,0.9905993268219673,0.3218812665427315
GO:0033010,10,-0.9903813290101262,0.3219877679424311
GO:0044283,6,0.9898728510476239,0.3222362708873492
GO:0050859,11,-0.9897831260287158,0.32228013421332113
GO:0015742,6,0.9897423900458383,0.3223000498520885
GO:1990130,5,0.9891600025805295,0.3225848642652558
GO:1990569,5,-0.9881238962424945,0.32309197391643374
GO:0005462,5,-0.9881238962424945,0.32309197391643374
GO:0033631,17,0.9880671043617325,0.3231197850286175
GO:0009804,7,0.987234649501841,0.3235276191462606
GO:0007265,67,-0.9872171994019819,0.32353617184183936
GO:0042102,52,0.9868403909293856,0.32372089028816986
GO:0007141,20,-0.9865617664074092,0.3238575213363514
GO:0005579,7,-0.9864193520302392,0.32392737257320126
GO:0044218,7,-0.9864193520302392,0.32392737257320126
GO:0001849,8,-0.9863320931847486,0.323970176037942
GO:0000271,7,-0.9863287634222835,0.3239718094739231
GO:1901097,5,0.9861588669807041,0.3240551603650116
GO:0030643,7,-0.9859362127878085,0.3241644152596562
GO:0004722,99,-0.9859102032954032,0.3241771795049413
GO:0034080,11,0.9855434008003997,0.32435722391184774
GO:0031045,18,-0.985362964313336,0.32444581475514134
GO:0022841,16,0.9850263878302228,0.32461110942940197
GO:0006766,6,0.9849479482302206,0.3246496394498236
GO:0051414,6,-0.9839694907168292,0.3251305140485963
GO:0003170,8,-0.9828577998927951,0.3256774298414552
GO:0008135,22,-0.9828352986467634,0.3256885058974911
GO:0097550,13,-0.9820198846569946,0.3260900521022648
GO:0031464,14,-0.9817773889523695,0.3262095298542429
GO:0038060,10,0.9816902275514658,0.32625248126931883
GO:0030049,15,0.9807630734201533,0.32670959197087
GO:0061462,16,0.9793534923636362,0.32740534819155165
GO:0032725,14,0.9784248637753132,0.3278642358815279
GO:0006283,11,-0.9783406857818399,0.3279058535894236
GO:0005375,7,0.9779946114903538,0.32807698917492734
GO:0035434,7,0.9779946114903538,0.32807698917492734
GO:0005784,6,-0.977250749124875,0.3284450291716071
GO:0003841,21,0.9771122561428818,0.32851358075167414
GO:0009312,26,0.9770850894174682,0.3285270288893436
GO:0002548,25,0.977069917497758,0.3285345394848316
GO:0005675,12,0.9770628028842214,0.32853806148910913
GO:0032958,10,-0.9769404395449888,0.328598639827237
GO:0016188,7,0.9768773519922328,0.3286298753700745
GO:0005452,20,-0.9765919841726747,0.32877118907609026
GO:0090661,5,-0.9761908094527129,0.3289699167888517
GO:0031698,6,-0.9758482933556806,0.3291396487035563
GO:0016757,242,-0.9757624749069949,0.32918218443984737
GO:0015031,679,-0.9755656040556243,0.32927977652791607
GO:0045922,7,0.9754883266702445,0.3293180893098905
GO:0070317,7,0.9753675418596368,0.3293779781007936
GO:0071144,8,-0.9752877949965061,0.3294175228935815
GO:0051010,19,-0.9751325156727362,0.32949453147077046
GO:0010960,8,-0.9750053321272416,0.3295576150327002
GO:0035240,6,-0.9739239935793442,0.330094279410443
GO:0015207,5,0.9731539460481277,0.3304767959239828
GO:0032715,67,0.9727521565400331,0.33067649630867413
GO:1903409,5,0.9724393899529311,0.33083200390203116
GO:2000343,8,-0.9722089497215229,0.330946609085093
GO:0032421,11,0.9720774553309183,0.3310120168929753
GO:0140718,6,-0.9716083107976512,0.33124544642614284
GO:0033089,7,-0.9712306620963239,0.33143342822426114
GO:0019640,5,0.9706529997149399,0.3317211040410023
GO:0008053,18,0.9699387127169862,0.33207704200645105
GO:0061665,14,-0.9684740565618847,0.33280766962880326
GO:0000118,43,-0.9682239136194509,0.33293255437642166
GO:0090522,9,-0.9680427327466868,0.3330230284573299
GO:1900271,8,0.9680002529694818,0.3330442433617691
GO:0006657,7,0.9674259405621821,0.3333311474118269
GO:0042867,8,-0.9672376032224675,0.33342526811020157
GO:0043653,12,0.9671913849101769,0.33344836811437195
GO:0048273,7,-0.9670635861303591,0.3335122475734158
GO:0001501,99,-0.9670049569731323,0.3335415556503878
GO:0045956,11,-0.9669705135786284,0.33355877430290315
GO:0071947,8,-0.9669268940662766,0.333580581026207
GO:0032279,11,-0.9668741561870757,0.33360694752719333
GO:0051233,27,0.9661053944800742,0.3339914454745452
GO:0034626,7,0.9660671114428457,0.3340106002916349
GO:0034625,7,0.9660671114428457,0.3340106002916349
GO:0009922,7,0.9660671114428457,0.3340106002916349
GO:0015630,219,-0.965680528978167,0.33420406550813264
GO:0002474,14,0.9656126656464352,0.3342380351699632
GO:0016918,11,0.9652963039004012,0.3343964225477887
GO:0005902,71,-0.9652169140748176,0.33443617687538485
GO:0031146,79,-0.9651612224657357,0.33446406617724245
GO:0030010,33,-0.9649448867188162,0.3345724172396104
GO:0016791,85,-0.9649360578157934,0.33457683964769735
GO:0048280,7,0.9647384785261613,0.3346758172059858
