go_term,number_of_genes,statistic,p_value
GO:0030246,223,4.443979967762932,8.830983069253945e-06
GO:0071013,91,-4.422148220095328,9.772437722117969e-06
GO:0042110,68,-4.419010586701442,9.915379085466106e-06
GO:0006955,521,-4.415231544447282,1.0090192914200324e-05
GO:0008168,196,-4.411558568135701,1.0262918469293448e-05
GO:0006954,414,4.396058558303995,1.1023420704546332e-05
GO:0042974,16,-4.394256788392412,1.1115236620798003e-05
GO:0035456,10,4.387136639216642,1.1485264249700222e-05
GO:0010498,72,4.360482433822665,1.2977600054666064e-05
GO:0050853,48,-4.352554370524285,1.345604865076009e-05
GO:0061644,18,4.344441033881787,1.3963074202213357e-05
GO:0170014,8,4.3430078463765005,1.4054511248522303e-05
GO:0007507,156,-4.338587821803736,1.4340118056272057e-05
GO:0016045,12,4.334751821761256,1.459246571111258e-05
GO:1990907,13,-4.324756539152504,1.5270041010749543e-05
GO:0042054,39,-4.314130556819455,1.6023223960518315e-05
GO:0098869,71,4.304516745533058,1.6735063445204048e-05
GO:0045943,25,-4.302179309433059,1.6912635366200912e-05
GO:0071168,27,-4.289950242940969,1.787131534175529e-05
GO:0005886,5373,-4.2806855230177865,1.8631848914522874e-05
GO:0034145,15,4.279494614678351,1.8731817006661456e-05
GO:0045945,20,-4.244786655880853,2.1880149547231526e-05
GO:0010572,12,4.240950286947147,2.225754346917963e-05
GO:0005923,135,-4.240629096674734,2.2289419332597498e-05
GO:0098978,561,-4.223325142691827,2.4072414697507575e-05
GO:0005576,2435,4.209856497949636,2.5553294023317992e-05
GO:0052689,54,4.203378219177596,2.6296065517847153e-05
GO:0016491,618,4.188930972222891,2.802716290134381e-05
GO:0140693,52,-4.18799999977274,2.8142351715617598e-05
GO:0006974,587,-4.185086586073139,2.8505742270599646e-05
GO:0000166,1874,-4.177431845158659,2.9481896227287585e-05
GO:0016363,129,-4.176702426030262,2.9576553987821945e-05
GO:0031093,67,4.170288461132829,3.0421432519332425e-05
GO:0007042,23,4.165158512167083,3.1113631414755996e-05
GO:0071280,24,4.159373150304417,3.191221884671404e-05
GO:2000736,20,-4.1575063938437955,3.2174027344972634e-05
GO:0032757,67,4.154817409212959,3.255474075751651e-05
GO:0032729,75,4.15430155631224,3.2628264141674916e-05
GO:0001774,24,4.153599052269846,3.272864422866408e-05
GO:0043484,77,-4.151361758906627,3.3050287361837346e-05
GO:0042571,6,-4.128829784508099,3.646141938972836e-05
GO:0006376,20,-4.125810347814371,3.6943162073777435e-05
GO:0033173,14,-4.117392051686864,3.831839120340347e-05
GO:1905168,43,-4.111423084543171,3.932278749746824e-05
GO:0045666,55,-4.107858249980149,3.9934505905195504e-05
GO:0032396,9,4.093822090949627,4.243199408075134e-05
GO:0000123,28,-4.0680212634165,4.741405558367606e-05
GO:0009615,107,4.066730927504611,4.7677238348458914e-05
GO:0030334,105,-4.065485566950213,4.793256077389492e-05
GO:0002767,20,4.05586106923196,4.994994453233787e-05
GO:1902459,45,-4.04575394891272,5.2154991771100475e-05
GO:0050829,88,4.04258987459606,5.286403955648698e-05
GO:0042420,8,4.039190784195592,5.3635925752121714e-05
GO:0140566,32,-4.027241709624163,5.6435008954060384e-05
GO:0050839,129,-4.009041507254569,6.0965700884162906e-05
GO:1990226,16,-4.008599771584713,6.107983272292266e-05
GO:0031966,240,4.007253519751804,6.142891465439282e-05
GO:0000792,55,-3.995125342145374,6.466003507703667e-05
GO:0017056,25,-3.980708491590061,6.87101692966861e-05
GO:0004866,45,3.957811064642802,7.56397491113794e-05
GO:0005833,13,3.9547595625725362,7.661165803517056e-05
GO:0008589,16,-3.9471567206860496,7.908479186936987e-05
GO:0001837,49,-3.9304045361007236,8.48030594324599e-05
GO:0005761,26,3.92697374079872,8.602136855587336e-05
GO:0019773,10,3.919231990919001,8.883157953001406e-05
GO:0000462,21,-3.9139589905399976,9.079506256059744e-05
GO:0140444,6,-3.9029039446660265,9.50454294937072e-05
GO:0006405,17,-3.89887981108616,9.663872485478987e-05
GO:0032922,65,-3.8917717111865557,9.951485973261071e-05
GO:0032786,13,-3.890164654102116,0.00010017622655473948
GO:0008143,27,-3.8843985109113284,0.00010258353153554281
GO:0034975,12,-3.8826731682349807,0.00010331439110001414
GO:2000781,48,-3.879786958027526,0.00010454799477265146
GO:0010457,13,-3.8769354395714672,0.00010578041208270488
GO:0004622,23,3.8758292421557567,0.00010626218760133469
GO:0042476,30,-3.8718562915436108,0.00010800963010575913
GO:0000781,177,-3.8697129888617736,0.00010896355311487133
GO:0098552,143,3.8692892484238466,0.00010915308659221509
GO:0050832,31,3.8639825411739626,0.00011155319825824654
GO:2000379,32,3.842601111795579,0.00012173723528652624
GO:0032200,25,3.8425151949513134,0.00012177987206609212
GO:0061133,18,3.8422206220138237,0.0001219261626642688
GO:0043005,353,-3.832645509233125,0.00012677256870211116
GO:1990405,8,-3.8150000048603485,0.00013618293086384268
GO:0050862,17,-3.8108806599122014,0.00013847260765183298
GO:0001228,449,-3.8090366529781186,0.00013950927826542704
GO:0034205,9,3.8045544110845784,0.00014205968398651499
GO:0043209,28,-3.800221768795027,0.00014456665296184862
GO:2000114,14,-3.797727708371359,0.00014602860850128742
GO:0060317,10,-3.790836125765188,0.0001501409951720392
GO:0034087,7,-3.7855167492551782,0.00015338950184135464
GO:0051642,13,-3.7841315024619924,0.0001542462566322288
GO:0140297,173,-3.7769624460557516,0.00015875265714480495
GO:0006631,205,3.775447751058487,0.00015972050228608777
GO:0003724,76,-3.771229471813352,0.00016244520380010922
GO:0036064,229,-3.768055925064138,0.00016452384880964401
GO:0071346,48,3.7668068640627936,0.00016534881505989474
GO:0009055,61,3.7659710895528127,0.0001659029898815906
GO:0045059,6,-3.765919892791232,0.00016593699351847899
GO:0032395,10,-3.765065999347067,0.00016650509619825436
